Nome;h-index;citations;documents;orcid;years;link
﻿Ana Maria Perfeito Tomé;20;1291;159;0000-0002-1210-0266;(1983, 2021);https://www.scopus.com/authid/detail.uri?authorId=7006456423
Ana Patrícia Oliveira Ferreira da Rocha;7;187;18;0000-0002-4094-7982;(2013, 2022);https://www.scopus.com/authid/detail.uri?authorId=56039182200
Ana Raquel Ferreira de Almeida Sebastião;10;746;29;0000-0001-5717-1415;(2006, 2022);https://www.scopus.com/authid/detail.uri?authorId=23467762800
Ana Rita dos Santos Valente;5;118;16;0000-0002-0511-554X;(2012, 2022);https://www.scopus.com/authid/detail.uri?authorId=55352833700
André Ventura da Cruz Marnôto Zúquete;8;355;88;0000-0002-9745-4361;(1993, 2021);https://www.scopus.com/authid/detail.uri?authorId=56530888000
António Guilherme Rocha Campos;6;168;20;0000-0001-6018-6191;(2000, 2019);https://www.scopus.com/authid/detail.uri?authorId=8603962700
António Joaquim Silva Teixeira;15;981;177;0000-0002-7675-1236;(1997, 2022);https://www.scopus.com/authid/detail.uri?authorId=24342417800
António José Ribeiro Neves;14;561;78;0000-0001-5433-6667;(2002, 2021);https://www.scopus.com/authid/detail.uri?authorId=43461712600
António Manuel Duarte Nogueira;8;304;63;0000-0001-7916-1429;(2001, 2018);https://www.scopus.com/authid/detail.uri?authorId=36070069200
Armando José Formoso de Pinho;20;1543;161;0000-0002-9164-0016;(1992, 2021);https://www.scopus.com/authid/detail.uri?authorId=7003780614
Arnaldo Silva Rodrigues de Oliveira;15;751;119;0000-0002-8759-3456;(1998, 2022);https://www.scopus.com/authid/detail.uri?authorId=25822612200
Artur José Carneiro Pereira;7;165;44;0000-0002-7099-1247;(2003, 2021);https://www.scopus.com/authid/detail.uri?authorId=55999597100
Augusto Marques Ferreira Silva;15;711;72;0000-0003-3786-2889;(1992, 2021);https://www.scopus.com/authid/detail.uri?authorId=7403221750
Carlos Alberto da Costa Bastos;11;384;45;0000-0001-6869-4713;(1991, 2020);https://www.scopus.com/authid/detail.uri?authorId=7003876525
Carlos Manuel Azevedo Costa;14;811;145;0000-0002-2707-5331;(1998, 2022);https://www.scopus.com/authid/detail.uri?authorId=7201473619
Carlos Manuel Santos Ferreira;13;1094;87;0000-0002-2799-643X;(1994, 2021);https://www.scopus.com/authid/detail.uri?authorId=55937371100
Catarina Alexandra Monteiro de Oliveira;8;194;33;0000-0002-3389-3082;(2005, 2022);https://www.scopus.com/authid/detail.uri?authorId=35428165600
Daniel Nunes Corujo;14;925;91;0000-0002-7484-1027;(2007, 2021);https://www.scopus.com/authid/detail.uri?authorId=23008345900
Diogo Rodrigo Marques Pratas;12;543;60;0000-0003-1176-552X;(2011, 2022);https://www.scopus.com/authid/detail.uri?authorId=49361962700
Diogo Nuno Pereira Gomes;10;311;79;0000-0002-5848-2802;(2003, 2021);https://www.scopus.com/authid/detail.uri?authorId=35612611500
Eurico Farinha Pedrosa;7;106;28;0000-0002-7954-9922;(2012, 2022);https://www.scopus.com/authid/detail.uri?authorId=55246502500
Ernesto Fernando Ventura Martins;4;90;15;0000-0001-9870-4070;(1995, 2016);https://www.scopus.com/authid/detail.uri?authorId=55112701800
Filipe Miguel Teixeira Pereira Silva;9;285;57;0000-0001-6191-0727;(1997, 2021);https://www.scopus.com/authid/detail.uri?authorId=7201708129
Helder Troca Zagalo;1;6;8;0000-0001-9802-5633;(2001, 2021);https://www.scopus.com/authid/detail.uri?authorId=6507596023
Ilídio Fernando Castro Oliveira;6;151;30;0000-0001-6743-4530;(2000, 2022);https://www.scopus.com/authid/detail.uri?authorId=7005631702
Iouliia Skliarova;13;784;127;0000-0002-6684-9416;(1998, 2022);https://www.scopus.com/authid/detail.uri?authorId=6602800488
João Manuel de Oliveira e Silva Rodrigues;12;374;62;0000-0001-9187-8094;(2000, 2021);https://www.scopus.com/authid/detail.uri?authorId=57220791360
João Paulo Silva Barraca;10;416;92;0000-0002-5029-6191;(2004, 2021);https://www.scopus.com/authid/detail.uri?authorId=8667882500
Joaquim Manuel Henriques Sousa Pinto;7;189;65;0000-0001-5586-3784;(1981, 2022);https://www.scopus.com/authid/detail.uri?authorId=35578689100
Joaquim João Estrela Ribeiro Silvestre Madeira;11;705;33;0000-0003-1740-1604;(1993, 2012);https://www.scopus.com/authid/detail.uri?authorId=8557701300
José Luís Costa Pinto de Azevedo;8;180;31;0000-0002-8485-6441;(1993, 2021);https://www.scopus.com/authid/detail.uri?authorId=7101722202
José Luís Guimarães Oliveira;28;2730;297;0000-0002-6672-6176;(1991, 2021);https://www.scopus.com/authid/detail.uri?authorId=57193360895
José Luís Vieira Cura;4;44;14;0000-0003-3315-405X;(1998, 2017);https://www.scopus.com/authid/detail.uri?authorId=6601933306
José Manuel Matos Moreira;4;125;21;0000-0003-4633-6944;(1999, 2022);https://www.scopus.com/authid/detail.uri?authorId=55981720500
José Manuel Neto Vieira;14;633;109;0000-0002-4356-4522;(1996, 2022);https://www.scopus.com/authid/detail.uri?authorId=57194062298
José Maria Amaral Fernandes;11;369;57;0000-0002-0681-9354;(2003, 2022);https://www.scopus.com/authid/detail.uri?authorId=16635802500
José Nuno Panelas Nunes Lau;16;1160;163;0000-0003-0513-158X;(1993, 2021);https://www.scopus.com/authid/detail.uri?authorId=13907323500
Leonor da Conceição Teixeira;9;362;123;0000-0002-7791-1932;(2001, 2022);https://www.scopus.com/authid/detail.uri?authorId=22434117100
Luís Filipe de Seabra Lopes;17;820;92;0000-0002-5719-5019;(1994, 2020);https://www.scopus.com/authid/detail.uri?authorId=7102509123
Luís Miguel Teixeira de Jesus;10;489;69;0000-0002-8534-3218;(2002, 2022);https://www.scopus.com/authid/detail.uri?authorId=6602360889
Luis Filipe Mesquita Nero Moreira Alves;15;975;95;0000-0002-8071-9546;(1999, 2022);https://www.scopus.com/authid/detail.uri?authorId=7102466722
Manuel Alberto Reis de Oliveira Violas;8;240;48;0000-0003-1240-6430;(1990, 2022);https://www.scopus.com/authid/detail.uri?authorId=6603148103
Manuel Bernardo Salvador Cunha;10;447;48;0000-0003-4859-6942;(1992, 2021);https://www.scopus.com/authid/detail.uri?authorId=24476249900
Mário José Neves de Lima;13;565;149;0000-0003-4925-3781;(1998, 2021);https://www.scopus.com/authid/detail.uri?authorId=56275756400
Manuel José Cabral dos Santos Reis;16;1026;69;0000-0002-8872-5721;(1997, 2021);https://www.scopus.com/authid/detail.uri?authorId=7102676391
Maria Beatriz Alves Sousa Santos;16;1527;164;0000-0002-2219-2731;(1992, 2022);https://www.scopus.com/authid/detail.uri?authorId=7006476948
Mário Jorge Ferreira Rodrigues;1;8;1;0000-0001-8415-9040;(2003, 2003);https://www.scopus.com/authid/detail.uri?authorId=57101221900
Miguel Armando Riem de Oliveira;14;501;51;0000-0001-6854-0933;(2005, 2022);https://www.scopus.com/authid/detail.uri?authorId=7402586538
Miguel Augusto Mendes Oliveira e Silva;7;87;14;0000-0001-8967-5861;(1996, 2017);https://www.scopus.com/authid/detail.uri?authorId=6506405801
Nelson Fernando Pacheco da Rocha;20;1118;173;0000-0003-3801-7249;(1985, 2022);https://www.scopus.com/authid/detail.uri?authorId=57200143400
Nuno Filipe Correia de Almeida;9;202;36;0000-0002-9742-5587;(2006, 2021);https://www.scopus.com/authid/detail.uri?authorId=56820333300
Óscar Narciso Mortágua Pereira;4;57;37;0000-0002-1742-6927;(2004, 2020);https://www.scopus.com/authid/detail.uri?authorId=36662906500
Olga Fajarda Oliveira;4;30;11;0000-0003-1957-4947;(2017, 2021);https://www.scopus.com/authid/detail.uri?authorId=57203431176
Osvaldo Manuel Rocha Pacheco;8;152;25;0000-0002-3098-7163;(1991, 2020);https://www.scopus.com/authid/detail.uri?authorId=6602955342
Paulo Jorge dos Santos Gonçalves Ferreira;24;2163;139;0000-0002-5147-0948;(1992, 2022);https://www.scopus.com/authid/detail.uri?authorId=7202018200
Paulo Jorge Salvador Serra Ferreira;10;540;87;0000-0001-6832-9417;(2001, 2021);https://www.scopus.com/authid/detail.uri?authorId=7004541434
Paulo Miguel de Jesus Dias;12;759;109;0000-0002-3754-2749;(2001, 2022);https://www.scopus.com/authid/detail.uri?authorId=22333370800
Paulo Bacelar Reis Pedreiras;17;1419;103;0000-0003-0230-8714;(2000, 2022);https://www.scopus.com/authid/detail.uri?authorId=6507247695
Paulo Jorge de Campos Bartolomeu;9;204;37;0000-0002-1975-6233;(2003, 2022);https://www.scopus.com/authid/detail.uri?authorId=16021270300
Pedro Miguel Ribeiro Lavrador;9;338;24;0000-0003-0937-7835;(2003, 2017);https://www.scopus.com/authid/detail.uri?authorId=6507555398
Vitor Manuel Ferreira dos Santos;13;539;85;0000-0003-1283-7388;(1994, 2021);https://www.scopus.com/authid/detail.uri?authorId=35616433200
